Level;Description;Number;Onset_Date;Onset_Time;Offset_Date;Offset_Time;Duration_Date;Duration_Time;Mutual;Avert;Refer;Follow;Share;Single gaze;Supporting gesture;Supporting behavior;Transcript
3;;107;0d;00:01:11.320;0d;00:01:11.880;0d;00:00:00.600;;;;;Share - CT;;;;
3;;108;0d;00:01:11.960;0d;00:01:12.400;0d;00:00:00.480;Mutual - CT;;;;;;;;
3;;109;0d;00:01:12.400;0d;00:01:12.520;0d;00:00:00.160;;;Refer -T;;;;;;
3;;110;0d;00:01:12.480;0d;00:01:12.520;0d;00:00:00.080;;;;Follow - CT;;;;;
3;;111;0d;00:01:12.520;0d;00:01:13.160;0d;00:00:00.680;;;;;Share - CT;;;;
3;;112;0d;00:01:13.160;0d;00:01:13.400;0d;00:00:00.280;;Avert -T;;;;;;;
3;;113;0d;00:01:13.440;0d;00:01:13.480;0d;00:00:00.080;Mutual - CT;;;;;;;;
3;;114;0d;00:01:13.520;0d;00:01:16.400;0d;00:00:02.920;;;;;;Single gaze - C;;;testerin
3;;115;0d;00:01:13.520;0d;00:01:20.040;0d;00:00:06.560;;Avert -T;;;;;;;
3;;116;0d;00:01:16.720;0d;00:01:16.840;0d;00:00:00.160;Mutual - CP;;;;;;;;
3;;117;0d;00:01:16.840;0d;00:01:23.320;0d;00:00:06.520;;;;;;Single gaze - C;;;plakat
3;;118;0d;00:01:20.040;0d;00:01:24.120;0d;00:00:04.120;;;;;;;Supporting behavior- T;;gesture, sound
3;;119;0d;00:01:23.640;0d;00:01:24.120;0d;00:00:00.520;;;;;Share - CT;;;;
3;;120;0d;00:01:24.200;0d;00:01:26.320;0d;00:00:02.160;;;;;;Single gaze - C;;;plakat
3;;121;0d;00:01:26.160;0d;00:01:26.400;0d;00:00:00.280;;;Refer -T;;;;;;
3;;122;0d;00:01:26.360;0d;00:01:26.600;0d;00:00:00.280;;;;;;;Supporting behavior- T;;gesture
3;;123;0d;00:01:26.400;0d;00:01:27.040;0d;00:00:00.680;;;;;Share - CT;;;;
3;;124;0d;00:01:27.120;0d;00:01:27.360;0d;00:00:00.280;Mutual - CT;;;;;;;;
3;;125;0d;00:01:27.360;0d;00:01:27.600;0d;00:00:00.280;;;Refer -T;;;;;;
3;;126;0d;00:01:27.440;0d;00:01:27.960;0d;00:00:00.560;;;;;;;Supporting behavior- T;;gesture, sound
3;;127;0d;00:01:27.560;0d;00:01:27.600;0d;00:00:00.080;;;;Follow - CT;;;;;
3;;128;0d;00:01:27.600;0d;00:01:28.240;0d;00:00:00.680;;;;;Share - CT;;;;
3;;129;0d;00:01:28.360;0d;00:01:28.800;0d;00:00:00.480;;;Refer - CT;;;;;;
3;;130;0d;00:01:28.760;0d;00:01:28.800;0d;00:00:00.080;;;;Follow - T;;;;;
3;;131;0d;00:01:28.800;0d;00:01:30.200;0d;00:00:01.440;;;;;Share - CT;;;;
3;;132;0d;00:01:30.200;0d;00:01:30.360;0d;00:00:00.200;;;Refer - CT;;;;;;
3;;133;0d;00:01:30.280;0d;00:01:30.360;0d;00:00:00.120;;;;Follow - T;;;;;
3;;134;0d;00:01:30.360;0d;00:01:31.880;0d;00:00:01.560;;;;;Share - CT;;;;
3;;135;0d;00:01:31.960;0d;00:01:35.840;0d;00:00:03.920;;;;;;Single gaze - C;;;Plakat
3;;136;0d;00:01:33.240;0d;00:01:35.920;0d;00:00:02.720;;;;;;;Supporting behavior- T;;point, gesture, language
