Onset_Date;Onset_Time;Offset_Date;Offset_Time;Duration_Date;Duration_Time;Supporting behavior;Single_gaze;Share;Avert;Mutual;Refer;Follow;Transcript
0d;634,12;0d;634,44;0d;0,36;;;;;;;Follow - CP;
0d;633,76;0d;635,32;0d;1,6;Supporting behavior - P;;;;;;;
0d;634,44;0d;638,44;0d;4,04;;Single gaze - C;;;;;;
0d;638,44;0d;640,44;0d;2,04;;;;;Mutual - CP;;;
0d;640,44;0d;640,96;0d;0,56;;;;Avert - CP;;;;
0d;640,96;0d;640,96;0d;0,04;;;;;;;;Kind nicht einsehbar<BR>
0d;641,6;0d;650,32;0d;8,76;;Single gaze - C;;;;;;
0d;650,32;0d;650,64;0d;0,36;;;Share - CP;;;;;
0d;650,16;0d;650,64;0d;0,52;;;Share - CT;;;;;<BR>
0d;649,92;0d;651,16;0d;1,28;Supporting behavior - P;;;;;;;
0d;651,16;0d;651,16;0d;0,04;;;;;;Refer - P;;
0d;651,2;0d;651,32;0d;0,16;;;;Avert - CP;;;;
0d;651,24;0d;651,32;0d;0,12;;;;Avert - CT;;;;
0d;651,36;0d;651,88;0d;0,56;;Single gaze - C;;;;;;
0d;651,88;0d;652,68;0d;0,84;;;;;Mutual - CP;;;
0d;652,72;0d;652,88;0d;0,2;;;;Avert - P;;;;
0d;652,72;0d;658,52;0d;5,84;;Single gaze - C;;;;;;
0d;652,92;0d;654,64;0d;1,76;;;;;;Refer - P;;
0d;658,56;0d;659,6;0d;1,08;;;;;Mutual - CP;;;
0d;659,6;0d;660,2;0d;0,64;;;;Avert - CP;;;;
0d;660,2;0d;668,16;0d;8;;Single gaze - C;;;;;;
0d;668,16;0d;668,32;0d;0,2;;;;;Mutual - CP;;;
0d;668,36;0d;668,36;0d;0,04;;;;;;;;Kind nicht einsehbar<BR>
0d;669,4;0d;671,08;0d;1,72;;;;;Mutual - CP;;;
0d;669,4;0d;671,44;0d;2,08;;Single gaze - C;;;;;;
0d;671,48;0d;672,04;0d;0,6;;;Share - CT;;;;;<BR>
0d;671,48;0d;672,04;0d;0,6;;;Share - CP;;;;;
0d;672,04;0d;672,04;0d;0,04;;;;Avert - CP;;;;
0d;672,04;0d;672,04;0d;0,04;;;;Avert - CT;;;;
0d;672,08;0d;672,6;0d;0,56;;Single gaze - C;;;;;;
0d;672,6;0d;673;0d;0,44;;;;;Mutual - CP;;;
0d;673,04;0d;673,28;0d;0,28;;;;Avert - CP;;;;
0d;673,24;0d;673,44;0d;0,24;;Single gaze - C;;;;;;
0d;673,44;0d;673,96;0d;0,56;;;;;;Refer - P;;
0d;673,56;0d;674,76;0d;1,24;Supporting behavior - P;;;;;;;
0d;673,96;0d;676,72;0d;2,8;;;Share - CP;;;;;
0d;674,08;0d;676,72;0d;2,68;;;Share - CT;;;;;<BR>
0d;676,72;0d;676,88;0d;0,2;;;;Avert - CP;;;;
0d;676,72;0d;676,88;0d;0,2;;;;Avert - CT;;;;
0d;677;0d;681,16;0d;4,2;;Single gaze - C;;;;;;
0d;1402,16;0d;1421,76;0d;19,64;;;Share - CT;;;;;<BR>
0d;1421,64;0d;1421,76;0d;0,16;;;Share - CP;;;;;
0d;1421,64;0d;1427,92;0d;6,32;;;;Avert - CT;;;;
0d;1421,04;0d;1421,04;0d;0,04;;;;Avert - CP;;;;
0d;1428,04;0d;1430,28;0d;2,28;;Single gaze - C;;;;;;
0d;1421,64;0d;1423,48;0d;1,88;;;;Avert - CP;;;;
0d;1423,48;0d;1423,8;0d;0,36;;Single gaze - C;;;;;;
0d;1423,8;0d;1424,44;0d;0,68;;;Share - CT;;;;;<BR>
0d;1426,6;0d;1427,84;0d;1,28;;;Share - CT;;;;;<BR>
0d;1424,48;0d;1426,6;0d;2,16;;Single gaze - C;;;;;;
0d;1430,32;0d;1436,16;0d;5,88;;;Share - CT;;;;;<BR>
0d;1436,16;0d;1436,36;0d;0,24;;;;Avert - CT;;;;
0d;1436,36;0d;1436,56;0d;0,24;;Single gaze - C;;;;;;
0d;1436,96;0d;1437,12;0d;0,2;;;;Avert - CT;;;;
0d;1437,16;0d;1438,88;0d;1,76;;Single gaze - C;;;;;;
0d;1438,92;0d;1449,28;0d;10,4;;;Share - CT;;;;;<BR>
0d;1449,28;0d;1449,36;0d;0,12;;;;Avert - CT;;;;
0d;1449,36;0d;1450,4;0d;1,08;;Single gaze - C;;;;;;
0d;1449,68;0d;1450,4;0d;0,76;;;;;;Refer - P;;
0d;1449,72;0d;1450,56;0d;0,88;Supporting behavior - P;;;;;;;
0d;1450,4;0d;1457,8;0d;7,44;;;Share - CT;;;;;<BR>
0d;1450,4;0d;1457,8;0d;7,44;;;Share - CP;;;;;
0d;1457,8;0d;1458;0d;0,24;;;;Avert - CT;;;;
0d;1458,04;0d;1458,32;0d;0,32;;Single gaze - C;;;;;;
0d;1458,32;0d;1474,88;0d;16,6;;;Share - CT;;;;;<BR>
0d;1474,88;0d;1475,04;0d;0,2;;;;Avert - CT;;;;
0d;1457,84;0d;1458;0d;0,2;;;;Avert - CP;;;;
0d;1475,08;0d;1476,48;0d;1,44;;Single gaze - C;;;;;;
0d;1476,48;0d;1478,16;0d;1,72;;;Share - CT;;;;;<BR>
0d;1478,2;0d;1478,88;0d;0,72;;Single gaze - C;;;;;;
0d;1478,12;0d;1478,16;0d;0,08;;;;Avert - T;;;;
0d;1478,92;0d;1490,2;0d;11,32;;;Share - CT;;;;;<BR>
0d;1490,12;0d;1490,24;0d;0,16;;;;Avert - CT;;;;
0d;1490,28;0d;1492,32;0d;2,08;;Single gaze - C;;;;;;
0d;1492,32;0d;1496,36;0d;4,08;;;Share - CT;;;;;<BR>
0d;1496,4;0d;1496,44;0d;0,08;;;;Avert - CT;;;;
0d;1496,48;0d;1496,52;0d;0,08;;Single gaze - C;;;;;;
0d;1496,52;0d;1499,12;0d;2,64;;;Share - CT;;;;;<BR>
0d;1499,4;0d;1499,44;0d;0,08;;;;Avert - CT;;;;
0d;1499,44;0d;1504;0d;4,6;;Single gaze - C;;;;;;
0d;1504;0d;1504,84;0d;0,88;;;;;Mutual - CP;;;
0d;1504,84;0d;1505,08;0d;0,28;;;;Avert - CP;;;;
0d;1505,08;0d;1505,16;0d;0,12;;Single gaze - C;;;;;;
0d;1505,24;0d;1511,8;0d;6,6;;;Share - CT;;;;;<BR>
0d;1511,84;0d;1511,96;0d;0,16;;;;Avert - T;;;;
0d;1511,84;0d;1512,48;0d;0,68;;Single gaze - C;;;;;;
0d;1512,52;0d;1537,56;0d;25,08;;;Share - CT;;;;;<BR>
0d;1537,6;0d;1537,8;0d;0,24;;;;Avert - CT;;;;
0d;1537,84;0d;1540,6;0d;2,8;;Single gaze - C;;;;;;
0d;1540,64;0d;1542,92;0d;2,32;;;Share - CT;;;;;<BR>
0d;1542,92;0d;1543,2;0d;0,32;;;;Avert - P;;;;
0d;1542,92;0d;1543;0d;0,12;;;;;;Refer - P;;
0d;1543;0d;1543,08;0d;0,12;;;;;;;Follow - CP;
0d;1543,08;0d;1543,44;0d;0,4;;;Share - CP;;;;;
0d;1543,48;0d;1546,16;0d;2,72;;Single gaze - C;;;;;;
0d;1546,2;0d;1560,88;0d;14,72;;;Share - CT;;;;;<BR>
0d;1560,92;0d;1561;0d;0,12;;;;Avert - CT;;;;
0d;1561;0d;1566,56;0d;5,6;;Single gaze - C;;;;;;
0d;1566,56;0d;1566,56;0d;0,04;;;;;;;;Kind nicht einsehbar<BR>
0d;1569,76;0d;1570;0d;0,28;;Single gaze - C;;;;;;
0d;1569,88;0d;1575,96;0d;6,12;;;Share - CT;;;;;<BR>
0d;1543,68;0d;1546,16;0d;2,52;Supporting behavior - T;;;;;;;
0d;1554,36;0d;1570,04;0d;15,72;Supporting behavior - T;;;;;;;
0d;1570,04;0d;1571,08;0d;1,08;Supporting behavior - P;;;;;;;
0d;1570,56;0d;1573,56;0d;3,04;Supporting behavior - T;;;;;;;
0d;1576;0d;1576,4;0d;0,44;;;;Avert - CT;;;;
0d;1576,44;0d;1576,44;0d;0,04;;;;;;;;Kind nicht einsehbar<BR>
0d;1578,6;0d;1581,52;0d;2,96;Supporting behavior - T;;;;;;;
0d;1581,64;0d;1581,72;0d;0,12;;Single gaze - C;;;;;;
0d;1581,76;0d;1582,2;0d;0,48;;;Share - CT;;;;;<BR>
0d;1582,2;0d;1582,8;0d;0,64;;;;Avert - CT;;;;
0d;1582,84;0d;1582,84;0d;0,04;;;;;;;;Kind nicht einsehbar<BR>
0d;1589,4;0d;1593,76;0d;4,4;Supporting behavior - T;;;;;;;
0d;1598,88;0d;1600,8;0d;1,96;;Single gaze - C;;;;;;
0d;1600,84;0d;1604,16;0d;3,36;;;Share - CT;;;;;<BR>
0d;1604,16;0d;1604,36;0d;0,24;;;;Avert - T;;;;
0d;1605,04;0d;1616,44;0d;11,44;;Single gaze - C;;;;;;
0d;1616,48;0d;1617,08;0d;0,64;;;Share - CT;;;;;<BR>
0d;1618,6;0d;1618,64;0d;0,08;;;;Avert - T;;;;
0d;1618,64;0d;1619,6;0d;1;;;;;;Refer - T;;
0d;1617,36;0d;1618,6;0d;1,28;;;Share - CT;;;;;
